DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
26,91,Gadwal,Jogulamba Gadwal,02,Dharur,575940,0000,VILLAGE,Neelahalli,Rural,768,3511,1750,1761,561,283,278,467,229,238,242,114,128,1132,724,408,2379,1026,1353,2057,1038,1019,2048,1036,1012,453,264,189,1413,642,771,19,8,11,163,122,41,9,2,7,1,1,0,5,0,5,0,0,0,3,1,2,9,2,7,1,1,0,5,0,5,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454,712,742
26,91,Gadwal,Jogulamba Gadwal,02,Dharur,575941,0000,VILLAGE,Mirzapuram,Rural,26,150,77,73,17,10,7,14,6,8,0,0,0,55,32,23,95,45,50,90,45,45,88,44,44,40,20,20,45,22,23,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,32,28
26,91,Gadwal,Jogulamba Gadwal,02,Dharur,575942,0000,VILLAGE,Nettempadu,Rural,434,1869,923,946,266,142,124,347,162,185,11,9,2,586,364,222,1283,559,724,1077,558,519,712,390,322,627,328,299,13,7,6,1,1,0,71,54,17,365,168,197,1,1,0,320,130,190,0,0,0,44,37,7,362,168,194,1,1,0,317,130,187,0,0,0,44,37,7,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,792,365,427
26,91,Gadwal,Jogulamba Gadwal,02,Dharur,575943,0000,VILLAGE,Nagardoddi,Rural,156,636,322,314,74,44,30,0,0,0,0,0,0,227,144,83,409,178,231,367,185,182,354,180,174,345,175,170,1,0,1,0,0,0,8,5,3,13,5,8,6,2,4,3,1,2,2,1,1,2,1,1,11,4,7,6,2,4,3,1,2,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0,269,137,132
26,91,Gadwal,Jogulamba Gadwal,02,Dharur,575944,0000,VILLAGE,Gorlapadu,Rural,282,1454,738,716,205,107,98,137,69,68,22,9,13,500,334,166,954,404,550,819,413,406,610,357,253,346,249,97,241,92,149,4,3,1,19,13,6,209,56,153,8,4,4,168,31,137,10,5,5,23,16,7,195,47,148,8,4,4,164,29,135,7,5,2,16,9,7,14,9,5,0,0,0,4,2,2,3,0,3,7,7,0,635,325,310
26,91,Gadwal,Jogulamba Gadwal,02,Dharur,575945,0000,VILLAGE,Upperu,Rural,2097,9592,4795,4797,1411,712,699,1725,889,836,66,30,36,3255,2067,1188,6337,2728,3609,5541,2792,2749,5208,2674,2534,2212,1275,937,2577,1097,1480,43,36,7,376,266,110,333,118,215,75,25,50,170,46,124,28,18,10,60,29,31,276,97,179,68,24,44,140,37,103,20,12,8,48,24,24,57,21,36,7,1,6,30,9,21,8,6,2,12,5,7,4051,2003,2048
26,91,Gadwal,Jogulamba Gadwal,02,Dharur,575946,0000,VILLAGE,Chintharevula,Rural,1547,6988,3542,3446,1004,521,483,1451,747,704,36,18,18,2798,1763,1035,4190,1779,2411,4049,2112,1937,3834,1977,1857,1760,970,790,1443,550,893,45,25,20,586,432,154,215,135,80,31,19,12,65,32,33,13,1,12,106,83,23,191,122,69,29,18,11,61,30,31,10,0,10,91,74,17,24,13,11,2,1,1,4,2,2,3,1,2,15,9,6,2939,1430,1509
26,91,Gadwal,Jogulamba Gadwal,02,Dharur,575947,0000,VILLAGE,Palcherla,Rural,674,3081,1576,1505,488,263,225,723,375,348,16,10,6,879,585,294,2202,991,1211,1912,940,972,1653,846,807,761,529,232,845,286,559,3,1,2,44,30,14,259,94,165,5,2,3,236,85,151,5,1,4,13,6,7,257,93,164,5,2,3,234,84,150,5,1,4,13,6,7,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1169,636,533
26,91,Gadwal,Jogulamba Gadwal,02,Dharur,575948,0000,VILLAGE,Mannapur,Rural,519,2493,1269,1224,407,220,187,378,179,199,18,8,10,710,442,268,1783,827,956,1504,767,737,1467,760,707,365,293,72,966,363,603,11,3,8,125,101,24,37,7,30,5,2,3,29,5,24,0,0,0,3,0,3,19,3,16,5,2,3,11,1,10,0,0,0,3,0,3,18,4,14,0,0,0,18,4,14,0,0,0,0,0,0,989,502,487
26,91,Gadwal,Jogulamba Gadwal,02,Dharur,575949,0000,VILLAGE,Dornala,Rural,128,591,296,295,120,60,60,410,203,207,0,0,0,233,135,98,358,161,197,299,163,136,296,163,133,73,61,12,214,95,119,0,0,0,9,7,2,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,133,159
26,91,Gadwal,Jogulamba Gadwal,02,Dharur,575950,0000,VILLAGE,Alwalpad,Rural,458,2095,1057,1038,304,154,150,470,239,231,0,0,0,783,498,285,1312,559,753,1239,628,611,1228,625,603,323,161,162,808,397,411,9,6,3,88,61,27,11,3,8,4,1,3,5,2,3,0,0,0,2,0,2,8,2,6,4,1,3,2,1,1,0,0,0,2,0,2,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0,856,429,427
26,91,Gadwal,Jogulamba Gadwal,01,Kaloor_Timmanadoddi,575951,0000,VILLAGE,Ganganapalli,Rural,322,1544,760,784,268,135,133,201,105,96,0,0,0,421,270,151,1123,490,633,988,458,530,987,457,530,528,332,196,394,87,307,18,3,15,47,35,12,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,302,254
26,91,Gadwal,Jogulamba Gadwal,01,Kaloor_Timmanadoddi,575952,0000,VILLAGE,Puranapalem,Rural,478,2528,1256,1272,369,188,181,243,128,115,42,23,19,886,565,321,1642,691,951,1531,767,764,1398,717,681,176,93,83,1126,559,567,27,12,15,69,53,16,133,50,83,5,0,5,119,43,76,3,2,1,6,5,1,130,48,82,5,0,5,116,41,75,3,2,1,6,5,1,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0,997,489,508
26,91,Gadwal,Jogulamba Gadwal,01,Kaloor_Timmanadoddi,575953,0000,VILLAGE,Erlabanda,Rural,186,869,448,421,140,78,62,161,82,79,2,1,1,292,181,111,577,267,310,523,271,252,523,271,252,137,84,53,350,166,184,1,1,0,35,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,177,169
26,91,Gadwal,Jogulamba Gadwal,01,Kaloor_Timmanadoddi,575954,0000,VILLAGE,Pagunta,Rural,286,1368,675,693,205,95,110,389,200,189,5,2,3,293,204,89,1075,471,604,904,448,456,869,429,440,472,290,182,376,126,250,4,2,2,17,11,6,35,19,16,1,0,1,32,18,14,1,1,0,1,0,1,32,18,14,1,0,1,30,17,13,1,1,0,0,0,0,3,1,2,0,0,0,2,1,1,0,0,0,1,0,1,464,227,237
26,91,Gadwal,Jogulamba Gadwal,01,Kaloor_Timmanadoddi,575955,0000,VILLAGE,Musaldoddi,Rural,45,208,111,97,19,13,6,58,33,25,0,0,0,93,60,33,115,51,64,151,78,73,134,65,69,107,53,54,25,11,14,0,0,0,2,1,1,17,13,4,11,8,3,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,4,11,8,3,6,5,1,0,0,0,0,0,0,57,33,24
26,91,Gadwal,Jogulamba Gadwal,01,Kaloor_Timmanadoddi,575956,0000,VILLAGE,Venkatapuram,Rural,234,1065,524,541,155,80,75,0,0,0,0,0,0,359,232,127,706,292,414,571,316,255,570,316,254,412,235,177,129,61,68,1,1,0,28,19,9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,208,286
26,91,Gadwal,Jogulamba Gadwal,01,Kaloor_Timmanadoddi,575957,0000,VILLAGE,Irkichedu,Rural,647,3199,1550,1649,498,233,265,712,352,360,560,276,284,880,583,297,2319,967,1352,1857,909,948,1653,810,843,1012,583,429,501,128,373,26,11,15,114,88,26,204,99,105,85,48,37,98,42,56,13,5,8,8,4,4,141,59,82,48,18,30,74,33,41,11,4,7,8,4,4,63,40,23,37,30,7,24,9,15,2,1,1,0,0,0,1342,641,701
26,91,Gadwal,Jogulamba Gadwal,01,Kaloor_Timmanadoddi,575958,0000,VILLAGE,Guvvaldinne,Rural,575,2765,1370,1395,466,231,235,545,268,277,1133,563,570,786,526,260,1979,844,1135,1602,788,814,1282,687,595,980,561,419,227,78,149,24,13,11,51,35,16,320,101,219,29,3,26,289,97,192,2,1,1,0,0,0,320,101,219,29,3,26,289,97,192,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,582,581
26,91,Gadwal,Jogulamba Gadwal,01,Kaloor_Timmanadoddi,575959,0000,VILLAGE,Kondapur,Rural,509,2383,1220,1163,366,192,174,356,175,181,0,0,0,755,527,228,1628,693,935,1094,663,431,913,643,270,849,612,237,36,9,27,0,0,0,28,22,6,181,20,161,51,2,49,118,10,108,2,2,0,10,6,4,181,20,161,51,2,49,118,10,108,2,2,0,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1289,557,732
26,91,Gadwal,Jogulamba Gadwal,01,Kaloor_Timmanadoddi,575960,0000,VILLAGE,Umithyala,Rural,581,2789,1374,1415,475,258,217,462,228,234,706,328,378,684,472,212,2105,902,1203,1647,770,877,1099,634,465,378,312,66,688,300,388,6,5,1,27,17,10,548,136,412,11,4,7,524,127,397,2,1,1,11,4,7,541,131,410,11,4,7,521,125,396,1,0,1,8,2,6,7,5,2,0,0,0,3,2,1,1,1,0,3,2,1,1142,604,538
26,91,Gadwal,Jogulamba Gadwal,02,Dharur,575961,0000,VILLAGE,Kothulagidda,Rural,245,1179,593,586,208,114,94,235,109,126,0,0,0,286,201,85,893,392,501,717,346,371,700,339,361,461,247,214,214,74,140,1,0,1,24,18,6,17,7,10,5,1,4,10,5,5,1,1,0,1,0,1,10,6,4,2,1,1,7,4,3,1,1,0,0,0,0,7,1,6,3,0,3,3,1,2,0,0,0,1,0,1,462,247,215
26,91,Gadwal,Jogulamba Gadwal,02,Dharur,575962,0000,VILLAGE,Marlabeedu,Rural,641,2962,1498,1464,484,256,228,749,370,379,17,6,11,950,617,333,2012,881,1131,1786,873,913,1558,808,750,1079,572,507,385,164,221,12,12,0,82,60,22,228,65,163,47,27,20,158,25,133,7,2,5,16,11,5,219,63,156,46,26,20,153,24,129,4,2,2,16,11,5,9,2,7,1,1,0,5,1,4,3,0,3,0,0,0,1176,625,551
26,91,Gadwal,Jogulamba Gadwal,02,Dharur,575963,0000,VILLAGE,Ryalampad,Rural,517,2490,1240,1250,378,204,174,625,314,311,24,13,11,896,546,350,1594,694,900,1400,689,711,1391,684,707,641,322,319,621,283,338,43,20,23,86,59,27,9,5,4,2,1,1,3,0,3,0,0,0,4,4,0,9,5,4,2,1,1,3,0,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,551,539
26,91,Gadwal,Jogulamba Gadwal,02,Dharur,575964,0000,VILLAGE,Dharur,Rural,1748,8136,4106,4030,1170,610,560,1257,606,651,81,32,49,3199,1966,1233,4937,2140,2797,4483,2309,2174,4031,2182,1849,1143,654,489,2140,990,1150,46,29,17,702,509,193,452,127,325,21,7,14,409,107,302,3,1,2,19,12,7,436,122,314,21,7,14,400,106,294,3,1,2,12,8,4,16,5,11,0,0,0,9,1,8,0,0,0,7,4,3,3653,1797,1856
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576221,0000,VILLAGE,Rekulapalle,Rural,449,2021,1041,980,304,168,136,503,264,239,29,13,16,631,394,237,1390,647,743,1132,601,531,1092,583,509,126,85,41,944,481,463,2,2,0,20,15,5,40,18,22,2,2,0,27,10,17,0,0,0,11,6,5,39,18,21,2,2,0,27,10,17,0,0,0,10,6,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,889,440,449
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576222,0000,VILLAGE,Kothapalle,Rural,421,1887,944,943,293,146,147,143,69,74,18,7,11,642,396,246,1245,548,697,1116,581,535,1116,581,535,164,101,63,737,302,435,9,7,2,206,171,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,363,408
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576223,0000,VILLAGE,Yenkampeta,Rural,345,1508,775,733,200,105,95,346,188,158,0,0,0,704,434,270,804,341,463,712,400,312,634,363,271,189,136,53,358,154,204,8,4,4,79,69,10,78,37,41,16,11,5,54,19,35,0,0,0,8,7,1,78,37,41,16,11,5,54,19,35,0,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,375,421
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576224,0000,VILLAGE,Mulkalapalle,Rural,513,2366,1172,1194,336,165,171,255,130,125,23,9,14,905,536,369,1461,636,825,1392,696,696,1267,666,601,585,497,88,611,121,490,0,0,0,71,48,23,125,30,95,7,2,5,108,21,87,0,0,0,10,7,3,125,30,95,7,2,5,108,21,87,0,0,0,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974,476,498
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576225,0000,VILLAGE,Gadwal (Rural),Rural,1072,4841,2455,2386,712,354,358,10,5,5,43,23,20,2041,1263,778,2800,1192,1608,2618,1407,1211,2375,1283,1092,735,424,311,1181,459,722,30,25,5,429,375,54,243,124,119,4,2,2,122,55,67,9,5,4,108,62,46,170,88,82,4,2,2,75,33,42,1,1,0,90,52,38,73,36,37,0,0,0,47,22,25,8,4,4,18,10,8,2223,1048,1175
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576226,0000,VILLAGE,Atmakur,Rural,937,4103,2028,2075,604,294,310,984,491,493,6,3,3,1422,850,572,2681,1178,1503,2425,1199,1226,2327,1166,1161,510,306,204,1563,657,906,12,7,5,242,196,46,98,33,65,9,6,3,75,22,53,6,2,4,8,3,5,76,24,52,7,4,3,60,16,44,5,2,3,4,2,2,22,9,13,2,2,0,15,6,9,1,0,1,4,1,3,1678,829,849
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576227,0000,VILLAGE,Ganpad,Rural,553,2469,1250,1219,435,231,204,405,201,204,5,2,3,785,487,298,1684,763,921,1347,687,660,760,476,284,286,201,85,306,131,175,4,2,2,164,142,22,587,211,376,34,25,9,416,120,296,77,34,43,60,32,28,391,142,249,20,16,4,325,99,226,16,9,7,30,18,12,196,69,127,14,9,5,91,21,70,61,25,36,30,14,16,1122,563,559
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576228,0000,VILLAGE,Sangala,Rural,280,1244,617,627,180,77,103,426,208,218,15,5,10,578,351,227,666,266,400,655,345,310,607,324,283,154,103,51,393,176,217,0,0,0,60,45,15,48,21,27,6,3,3,37,14,23,0,0,0,5,4,1,47,21,26,6,3,3,37,14,23,0,0,0,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,589,272,317
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576229,0000,VILLAGE,Jilladabanda,Rural,152,712,360,352,106,46,60,147,79,68,52,26,26,238,153,85,474,207,267,444,218,226,443,218,225,129,100,29,307,113,194,0,0,0,7,5,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,142,126
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576230,0000,VILLAGE,Kakulavaram,Rural,400,1890,959,931,270,145,125,581,307,274,11,7,4,719,436,283,1171,523,648,1060,534,526,1052,531,521,399,282,117,533,172,361,11,6,5,109,71,38,8,3,5,2,1,1,5,2,3,0,0,0,1,0,1,8,3,5,2,1,1,5,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,425,405
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576231,0000,VILLAGE,Paramala,Rural,515,2406,1277,1129,298,159,139,416,208,208,7,4,3,1002,616,386,1404,661,743,1366,728,638,1314,712,602,437,338,99,818,337,481,12,7,5,47,30,17,52,16,36,7,4,3,42,11,31,1,1,0,2,0,2,52,16,36,7,4,3,42,11,31,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,549,491
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576232,0000,VILLAGE,Mellacheruvu,Rural,441,1981,1059,922,302,155,147,956,515,441,15,10,5,822,541,281,1159,518,641,1056,573,483,344,269,75,101,75,26,84,62,22,5,3,2,154,129,25,712,304,408,17,9,8,565,197,368,6,2,4,124,96,28,705,299,406,16,8,8,560,194,366,6,2,4,123,95,28,7,5,2,1,1,0,5,3,2,0,0,0,1,1,0,925,486,439
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576233,0000,VILLAGE,Jammichedu,Rural,935,4235,2139,2096,557,274,283,1234,625,609,69,36,33,1625,974,651,2610,1165,1445,2384,1281,1103,2201,1243,958,225,190,35,1366,517,849,10,8,2,600,528,72,183,38,145,10,4,6,140,14,126,0,0,0,33,20,13,178,35,143,9,3,6,138,14,124,0,0,0,31,18,13,5,3,2,1,1,0,2,0,2,0,0,0,2,2,0,1851,858,993
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576234,0000,VILLAGE,Pudur,Rural,2481,10699,5505,5194,1306,709,597,1084,569,515,27,12,15,4454,2785,1669,6245,2720,3525,6228,3268,2960,5399,2905,2494,2067,1238,829,2819,1282,1537,41,23,18,472,362,110,829,363,466,31,11,20,726,314,412,22,8,14,50,30,20,766,336,430,26,9,17,686,296,390,12,6,6,42,25,17,63,27,36,5,2,3,40,18,22,10,2,8,8,5,3,4471,2237,2234
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576235,0000,VILLAGE,Anantapur,Rural,1200,5284,2684,2600,692,372,320,922,472,450,45,19,26,2252,1338,914,3032,1346,1686,2742,1505,1237,2566,1444,1122,433,321,112,1715,788,927,42,28,14,376,307,69,176,61,115,15,7,8,140,42,98,6,4,2,15,8,7,149,54,95,13,6,7,116,36,80,6,4,2,14,8,6,27,7,20,2,1,1,24,6,18,0,0,0,1,0,1,2542,1179,1363
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576236,0000,VILLAGE,Beerole,Rural,572,2463,1264,1199,311,173,138,90,48,42,54,27,27,976,609,367,1487,655,832,1353,726,627,1239,678,561,858,525,333,249,58,191,29,13,16,103,82,21,114,48,66,11,5,6,89,33,56,0,0,0,14,10,4,108,46,62,11,5,6,83,31,52,0,0,0,14,10,4,6,2,4,0,0,0,6,2,4,0,0,0,0,0,0,1110,538,572
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576237,0000,VILLAGE,Basapur,Rural,82,347,174,173,49,30,19,0,0,0,0,0,0,120,65,55,227,109,118,195,100,95,194,99,95,175,90,85,15,6,9,0,0,0,4,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,74,78
26,91,Gadwal,Jogulamba Gadwal,03,Gadwal,576238,0000,VILLAGE,Gurramgadda,Rural,171,757,387,370,103,54,49,198,108,90,0,0,0,359,211,148,398,176,222,451,231,220,446,227,219,281,156,125,147,54,93,3,3,0,15,14,1,5,4,1,1,1,0,0,0,0,1,1,0,3,2,1,4,3,1,1,1,0,0,0,0,0,0,0,3,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,306,156,150
26,91,Gadwal,Jogulamba Gadwal,05,Maldakal,576239,0000,VILLAGE,Maddelabanda,Rural,951,4467,2256,2211,733,369,364,467,217,250,1084,551,533,1338,870,468,3129,1386,1743,2638,1311,1327,2603,1302,1301,541,277,264,1888,915,973,14,8,6,160,102,58,35,9,26,3,1,2,18,5,13,5,2,3,9,1,8,31,7,24,3,1,2,17,4,13,5,2,3,6,0,6,4,2,2,0,0,0,1,1,0,0,0,0,3,1,2,1829,945,884
26,91,Gadwal,Jogulamba Gadwal,05,Maldakal,576240,0000,VILLAGE,Nethivanipalle,Rural,242,1124,572,552,170,77,93,2,1,1,432,205,227,237,183,54,887,389,498,695,328,367,685,325,360,290,227,63,386,95,291,1,0,1,8,3,5,10,3,7,0,0,0,10,3,7,0,0,0,0,0,0,8,3,5,0,0,0,8,3,5,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,429,244,185
26,91,Gadwal,Jogulamba Gadwal,05,Maldakal,576241,0000,VILLAGE,Adaviravalcheruvu,Rural,166,730,360,370,137,69,68,54,30,24,0,0,0,137,83,54,593,277,316,507,241,266,505,240,265,496,236,260,4,1,3,0,0,0,5,3,2,2,1,1,0,0,0,1,0,1,0,0,0,1,1,0,2,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,119,104
26,91,Gadwal,Jogulamba Gadwal,05,Maldakal,576242,0000,VILLAGE,Uligepalle,Rural,288,1416,727,689,240,120,120,0,0,0,23,11,12,302,227,75,1114,500,614,796,401,395,776,396,380,130,124,6,621,259,362,21,12,9,4,1,3,20,5,15,1,1,0,16,3,13,2,0,2,1,1,0,20,5,15,1,1,0,16,3,13,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,326,294
26,91,Gadwal,Jogulamba Gadwal,05,Maldakal,576243,0000,VILLAGE,Bijjawaram,Rural,1429,6585,3337,3248,968,499,469,1131,600,531,33,18,15,2183,1348,835,4402,1989,2413,3498,1829,1669,3294,1693,1601,728,477,251,2246,981,1265,61,41,20,259,194,65,204,136,68,34,28,6,159,100,59,2,1,1,9,7,2,202,135,67,34,28,6,157,99,58,2,1,1,9,7,2,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,3087,1508,1579
26,91,Gadwal,Jogulamba Gadwal,05,Maldakal,576244,0000,VILLAGE,Burdipad,Rural,97,410,213,197,43,20,23,72,41,31,0,0,0,242,140,102,168,73,95,232,123,109,194,108,86,61,37,24,127,67,60,2,2,0,4,2,2,38,15,23,5,2,3,22,7,15,2,1,1,9,5,4,38,15,23,5,2,3,22,7,15,2,1,1,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,90,88
26,91,Gadwal,Jogulamba Gadwal,05,Maldakal,576245,0000,VILLAGE,Palwai,Rural,1054,4730,2393,2337,693,347,346,679,350,329,3,1,2,1838,1153,685,2892,1240,1652,2731,1369,1362,2619,1316,1303,1412,721,691,1053,478,575,8,5,3,146,112,34,112,53,59,5,2,3,98,43,55,3,2,1,6,6,0,110,52,58,5,2,3,97,42,55,2,2,0,6,6,0,2,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1999,1024,975
26,91,Gadwal,Jogulamba Gadwal,05,Maldakal,576246,0000,VILLAGE,D_Amaravai,Rural,861,3479,1732,1747,512,274,238,1255,638,617,17,12,5,1276,828,448,2203,904,1299,1977,984,993,1945,970,975,460,298,162,1284,530,754,13,7,6,188,135,53,32,14,18,13,8,5,17,5,12,0,0,0,2,1,1,26,12,14,11,7,4,14,4,10,0,0,0,1,1,0,6,2,4,2,1,1,3,1,2,0,0,0,1,0,1,1502,748,754
26,91,Gadwal,Jogulamba Gadwal,05,Maldakal,576247,0000,VILLAGE,Yelkur,Rural,1604,7204,3691,3513,1144,581,563,1637,851,786,10,5,5,2425,1575,850,4779,2116,2663,4168,2135,2033,3856,2049,1807,1461,915,546,2091,924,1167,36,19,17,268,191,77,312,86,226,10,4,6,276,66,210,9,5,4,17,11,6,302,80,222,10,4,6,272,64,208,8,5,3,12,7,5,10,6,4,0,0,0,4,2,2,1,0,1,5,4,1,3036,1556,1480
26,91,Gadwal,Jogulamba Gadwal,05,Maldakal,576248,0000,VILLAGE,Chelagarlapadu,Rural,132,830,392,438,145,68,77,21,8,13,0,0,0,286,173,113,544,219,325,480,237,243,479,237,242,203,108,95,274,128,146,0,0,0,2,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,155,195
26,91,Gadwal,Jogulamba Gadwal,05,Maldakal,576249,0000,VILLAGE,Yeddulagudem,Rural,69,267,140,127,39,18,21,87,43,44,0,0,0,96,65,31,171,75,96,148,75,73,148,75,73,14,8,6,134,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,65,54
26,91,Gadwal,Jogulamba Gadwal,05,Maldakal,576250,0000,VILLAGE,Saddalonipalle,Rural,246,1176,611,565,190,103,87,0,0,0,0,0,0,352,249,103,824,362,462,672,338,334,622,332,290,346,216,130,227,82,145,0,0,0,49,34,15,50,6,44,20,1,19,26,1,25,0,0,0,4,4,0,48,6,42,20,1,19,24,1,23,0,0,0,4,4,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,504,273,231
26,91,Gadwal,Jogulamba Gadwal,05,Maldakal,576251,0000,VILLAGE,Maldakal,Rural,1668,8355,4226,4129,1240,639,601,1749,965,784,33,18,15,3215,2018,1197,5140,2208,2932,4154,2239,1915,2540,1691,849,962,867,95,1029,400,629,45,32,13,504,392,112,1614,548,1066,51,31,20,1472,461,1011,18,9,9,73,47,26,1369,521,848,49,31,18,1238,439,799,18,9,9,64,42,22,245,27,218,2,0,2,234,22,212,0,0,0,9,5,4,4201,1987,2214
