DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
12,91,Hanumakonda,Hanumakonda,04,Kamalapur,572655,0000,VILLAGE,Bhimpalle,Rural,929,3239,1660,1579,197,109,88,509,266,243,22,11,11,1831,1084,747,1408,576,832,1741,926,815,1692,911,781,354,219,135,1055,434,621,16,15,1,267,243,24,49,15,34,3,0,3,37,9,28,1,0,1,8,6,2,44,15,29,2,0,2,34,9,25,0,0,0,8,6,2,5,0,5,1,0,1,3,0,3,1,0,1,0,0,0,1498,734,764
12,91,Hanumakonda,Hanumakonda,04,Kamalapur,572656,0000,VILLAGE,Kannur,Rural,825,3020,1493,1527,236,113,123,574,290,284,38,23,15,1673,977,696,1347,516,831,1560,803,757,1521,790,731,463,267,196,834,332,502,59,55,4,165,136,29,39,13,26,3,2,1,27,6,21,1,0,1,8,5,3,37,13,24,3,2,1,25,6,19,1,0,1,8,5,3,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1460,690,770
12,91,Hanumakonda,Hanumakonda,04,Kamalapur,572657,0000,VILLAGE,Gunded,Rural,556,2050,1062,988,174,89,85,200,106,94,0,0,0,1164,719,445,886,343,543,1136,593,543,1099,581,518,245,143,102,772,366,406,5,5,0,77,67,10,37,12,25,3,0,3,29,8,21,0,0,0,5,4,1,33,10,23,3,0,3,26,7,19,0,0,0,4,3,1,4,2,2,0,0,0,3,1,2,0,0,0,1,1,0,914,469,445
12,91,Hanumakonda,Hanumakonda,04,Kamalapur,572658,0000,VILLAGE,Marripalligudem,Rural,1287,4573,2281,2292,349,182,167,1285,652,633,19,7,12,2495,1492,1003,2078,789,1289,2495,1281,1214,2194,1193,1001,504,312,192,1253,525,728,53,47,6,384,309,75,301,88,213,41,11,30,206,57,149,3,1,2,51,19,32,256,68,188,36,8,28,170,41,129,2,1,1,48,18,30,45,20,25,5,3,2,36,16,20,1,0,1,3,1,2,2078,1000,1078
12,91,Hanumakonda,Hanumakonda,04,Kamalapur,572659,0000,VILLAGE,Jujnoor,Rural,58,204,106,98,24,13,11,0,0,0,0,0,0,108,60,48,96,46,50,125,63,62,116,59,57,49,23,26,55,27,28,4,2,2,8,7,1,9,4,5,3,2,1,6,2,4,0,0,0,0,0,0,8,4,4,3,2,1,5,2,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,79,43,36
12,91,Hanumakonda,Hanumakonda,04,Kamalapur,572660,0000,VILLAGE,Sanigaram,Rural,1587,5624,2849,2775,451,239,212,946,492,454,16,7,9,3277,1928,1349,2347,921,1426,3028,1638,1390,2568,1450,1118,571,381,190,1584,730,854,65,52,13,348,287,61,460,188,272,17,6,11,387,150,237,2,1,1,54,31,23,436,176,260,17,6,11,371,144,227,2,1,1,46,25,21,24,12,12,0,0,0,16,6,10,0,0,0,8,6,2,2596,1211,1385
12,91,Hanumakonda,Hanumakonda,04,Kamalapur,572661,0000,VILLAGE,Vangapalle,Rural,1372,4970,2518,2452,416,220,196,1438,726,712,0,0,0,2509,1490,1019,2461,1028,1433,2591,1341,1250,2391,1270,1121,562,360,202,1568,692,876,57,54,3,204,164,40,200,71,129,11,4,7,160,45,115,4,4,0,25,18,7,178,61,117,11,4,7,141,37,104,4,4,0,22,16,6,22,10,12,0,0,0,19,8,11,0,0,0,3,2,1,2379,1177,1202
12,91,Hanumakonda,Hanumakonda,04,Kamalapur,572662,0000,VILLAGE,Kamalapur,Rural,2771,10423,5407,5016,893,483,410,1840,971,869,94,46,48,6438,3871,2567,3985,1536,2449,4807,2672,2135,4167,2518,1649,403,269,134,1872,858,1014,324,185,139,1568,1206,362,640,154,486,6,3,3,524,104,420,10,1,9,100,46,54,587,137,450,5,2,3,482,92,390,8,1,7,92,42,50,53,17,36,1,1,0,42,12,30,2,0,2,8,4,4,5616,2735,2881
12,91,Hanumakonda,Hanumakonda,04,Kamalapur,572663,0000,VILLAGE,Uppal,Rural,1872,6867,3414,3453,568,297,271,1342,680,662,82,42,40,4199,2406,1793,2668,1008,1660,3398,1849,1549,2914,1698,1216,691,395,296,1429,665,764,41,29,12,753,609,144,484,151,333,29,14,15,411,116,295,10,5,5,34,16,18,372,92,280,17,4,13,313,68,245,8,4,4,34,16,18,112,59,53,12,10,2,98,48,50,2,1,1,0,0,0,3469,1565,1904
12,91,Hanumakonda,Hanumakonda,04,Kamalapur,572664,0000,VILLAGE,Desharajpalle,Rural,530,1731,883,848,133,69,64,527,269,258,14,5,9,1056,624,432,675,259,416,978,491,487,789,436,353,207,131,76,490,231,259,8,6,2,84,68,16,189,55,134,2,0,2,167,40,127,1,0,1,19,15,4,178,53,125,2,0,2,156,38,118,1,0,1,19,15,4,11,2,9,0,0,0,11,2,9,0,0,0,0,0,0,753,392,361
12,91,Hanumakonda,Hanumakonda,04,Kamalapur,572665,0000,VILLAGE,Kaniparthi,Rural,1017,3372,1684,1688,275,152,123,832,411,421,20,8,12,2036,1181,855,1336,503,833,1848,939,909,1793,925,868,388,252,136,1149,462,687,24,15,9,232,196,36,55,14,41,1,1,0,43,8,35,5,2,3,6,3,3,54,13,41,0,0,0,43,8,35,5,2,3,6,3,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1524,745,779
12,91,Hanumakonda,Hanumakonda,04,Kamalapur,572666,0000,VILLAGE,Gudur,Rural,1097,3933,1982,1951,326,173,153,954,480,474,4,2,2,2289,1345,944,1644,637,1007,2077,1075,1002,1547,858,689,222,151,71,1090,499,591,3,0,3,232,208,24,530,217,313,5,1,4,487,190,297,2,0,2,36,26,10,412,179,233,3,1,2,375,155,220,2,0,2,32,23,9,118,38,80,2,0,2,112,35,77,0,0,0,4,3,1,1856,907,949
12,91,Hanumakonda,Hanumakonda,04,Kamalapur,572667,0000,VILLAGE,Ambala,Rural,1650,5974,3008,2966,463,227,236,788,432,356,3,2,1,3412,2042,1370,2562,966,1596,3262,1690,1572,2999,1613,1386,719,447,272,1551,626,925,179,116,63,550,424,126,263,77,186,6,2,4,233,59,174,5,2,3,19,14,5,165,41,124,4,1,3,141,25,116,4,2,2,16,13,3,98,36,62,2,1,1,92,34,58,1,0,1,3,1,2,2712,1318,1394
12,91,Hanumakonda,Hanumakonda,04,Kamalapur,572668,0000,VILLAGE,Nerella,Rural,501,1770,921,849,145,75,70,431,229,202,0,0,0,970,578,392,800,343,457,954,501,453,777,458,319,180,146,34,467,193,274,5,4,1,125,115,10,177,43,134,7,5,2,143,18,125,0,0,0,27,20,7,137,34,103,7,5,2,110,13,97,0,0,0,20,16,4,40,9,31,0,0,0,33,5,28,0,0,0,7,4,3,816,420,396
12,91,Hanumakonda,Hanumakonda,04,Kamalapur,572669,0000,VILLAGE,Madannapeta,Rural,606,2183,1114,1069,178,105,73,368,181,187,0,0,0,1202,711,491,981,403,578,1152,583,569,1069,558,511,270,135,135,639,294,345,16,12,4,144,117,27,83,25,58,8,3,5,56,14,42,4,1,3,15,7,8,70,22,48,8,3,5,49,13,36,3,1,2,10,5,5,13,3,10,0,0,0,7,1,6,1,0,1,5,2,3,1031,531,500
12,91,Hanumakonda,Hanumakonda,04,Kamalapur,572670,0000,VILLAGE,Guniparthi,Rural,371,1480,722,758,121,61,60,379,190,189,0,0,0,880,521,359,600,201,399,827,431,396,490,275,215,104,82,22,269,98,171,14,11,3,103,84,19,337,156,181,5,3,2,50,12,38,13,7,6,269,134,135,114,46,68,4,2,2,47,11,36,12,7,5,51,26,25,223,110,113,1,1,0,3,1,2,1,0,1,218,108,110,653,291,362
12,91,Hanumakonda,Hanumakonda,01,Bheemadevarapalle,572671,0000,VILLAGE,Vangara,Rural,1484,6081,2973,3108,538,265,273,1161,588,573,365,202,163,3396,1886,1510,2685,1087,1598,2798,1544,1254,2029,1229,800,771,540,231,925,422,503,33,27,6,300,240,60,769,315,454,38,7,31,664,255,409,9,6,3,58,47,11,737,298,439,38,7,31,641,245,396,8,5,3,50,41,9,32,17,15,0,0,0,23,10,13,1,1,0,8,6,2,3283,1429,1854
12,91,Hanumakonda,Hanumakonda,01,Bheemadevarapalle,572672,0000,VILLAGE,Bheemadevarpalle,Rural,699,2579,1282,1297,238,112,126,713,336,377,29,16,13,1559,887,672,1020,395,625,1294,699,595,1235,666,569,261,186,75,791,324,467,5,4,1,178,152,26,59,33,26,2,1,1,30,12,18,0,0,0,27,20,7,57,32,25,1,1,0,30,12,18,0,0,0,26,19,7,2,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1285,583,702
12,91,Hanumakonda,Hanumakonda,01,Bheemadevarapalle,572673,0000,VILLAGE,Ratnagiri,Rural,460,1811,917,894,125,69,56,356,183,173,160,78,82,1081,623,458,730,294,436,1061,524,537,1050,522,528,282,172,110,723,320,403,6,4,2,39,26,13,11,2,9,2,0,2,6,1,5,0,0,0,3,1,2,11,2,9,2,0,2,6,1,5,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,393,357
12,91,Hanumakonda,Hanumakonda,01,Bheemadevarapalle,572674,0000,VILLAGE,Manikyapur,Rural,804,3183,1592,1591,271,144,127,665,322,343,30,15,15,1816,1035,781,1367,557,810,1721,910,811,1531,829,702,914,510,404,413,148,265,41,26,15,163,145,18,190,81,109,3,1,2,167,68,99,7,3,4,13,9,4,190,81,109,3,1,2,167,68,99,7,3,4,13,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462,682,780
12,91,Hanumakonda,Hanumakonda,01,Bheemadevarapalle,572675,0000,VILLAGE,Koppur,Rural,789,3055,1523,1532,299,154,145,488,268,220,24,11,13,1496,883,613,1559,640,919,1550,759,791,1286,676,610,239,173,66,636,265,371,37,15,22,374,223,151,264,83,181,55,2,53,61,10,51,8,1,7,140,70,70,258,81,177,55,2,53,60,10,50,8,1,7,135,68,67,6,2,4,0,0,0,1,0,1,0,0,0,5,2,3,1505,764,741
